Hall,Practice_hours,Posts_shared,Bulla_hours,Classes_missed,Relationship_status,Enthu
2,4,3,3,3,Long_distance_lover,0
2,0,0,5,4,Single_and_stud,0
2,8,0,4,0,Long_distance_lover,0
2,7,4,0,4,Committed_inside_campus,0
3,0,1,5,4,Committed_inside_campus,0
3,11,0,2,5,Committed_inside_campus,0
3,,,,,,0
3,,,,,,0
3,12,5,0,5,Committed_inside_campus,0
3,,,,,,0
3,1,1,7,0,Long_distance_lover,0
3,0,4,0,0,Long_distance_lover,0
3,5,1,3,0,Single_and_stud,0
3,11,2,4,6,Single_and_stud,0
3,,,,,,0
3,6,2,2,4,Single_and_stud,0
3,7,0,6,2,Committed_inside_campus,0
3,,,,,,0
3,3,4,8,5,Committed_inside_campus,0
3,,,,,,0
3,2,0,6,2,Committed_inside_campus,0
3,6,2,5,5,Single_and_stud,0
3,7,5,0,5,Committed_inside_campus,0
3,3,4,7,6,Long_distance_lover,0
3,11,1,7,0,Long_distance_lover,0
3,5,3,8,2,Committed_inside_campus,0
3,0,2,7,5,Single_and_stud,0
3,7,3,5,4,Long_distance_lover,0
3,,,,,,0
3,12,1,5,0,Committed_inside_campus,0
3,2,3,8,4,Committed_inside_campus,0
3,6,5,4,6,Long_distance_lover,0
3,,,,,,0
3,12,1,7,4,Single_and_stud,0
3,,,,,,0
3,6,4,5,6,Long_distance_lover,0
3,8,2,7,3,Committed_inside_campus,0
3,14,0,3,0,Single_and_stud,0
3,2,0,3,0,Single_and_stud,0
3,,,,,,0
3,14,3,4,4,Long_distance_lover,0
3,11,4,5,3,Single_and_stud,0
3,1,0,2,5,Long_distance_lover,0
3,14,0,1,5,Long_distance_lover,0
3,10,5,4,6,Committed_inside_campus,0
3,15,1,3,5,Single_and_stud,0
3,13,4,8,4,Single_and_stud,0
3,3,2,4,1,Single_and_stud,0
3,13,3,2,2,Committed_inside_campus,0
3,,,,,,0
3,12,2,4,5,Committed_inside_campus,0
3,,,,,,0
3,,,,,,0
3,4,4,6,5,Single_and_stud,0
3,14,4,8,4,Long_distance_lover,0
3,11,4,2,4,Committed_inside_campus,0
3,13,1,1,0,Single_and_stud,0
3,,,,,,0
3,0,3,7,1,Single_and_stud,0
3,7,5,1,1,Single_and_stud,0
3,7,0,2,1,Single_and_stud,0
3,,,,,,0
3,7,0,1,4,Committed_inside_campus,0
3,14,2,3,4,Long_distance_lover,0
3,,,,,,0
3,1,1,5,4,Long_distance_lover,0
3,,,,,,0
3,,,,,,0
3,0,1,3,1,Long_distance_lover,0
3,6,2,4,1,Long_distance_lover,0
3,12,4,5,3,Single_and_stud,0
3,8,2,3,0,Long_distance_lover,0
3,11,2,0,1,Committed_inside_campus,0
3,7,3,1,0,Committed_inside_campus,0
3,13,4,1,2,Single_and_stud,0
3,,,,,,0
3,9,2,2,5,Single_and_stud,0
3,,,,,,0
3,7,3,0,1,Long_distance_lover,0
3,0,5,4,2,Long_distance_lover,0
3,14,4,6,6,Committed_inside_campus,0
3,1,4,8,1,Single_and_stud,0
3,,,,,,0
3,3,1,8,4,Single_and_stud,0
3,9,4,3,3,Committed_inside_campus,0
3,9,1,1,1,Committed_inside_campus,0
3,,,,,,0
3,,,,,,0
3,15,4,1,3,Single_and_stud,0
3,,,,,,0
3,5,1,4,5,Single_and_stud,0
3,2,1,0,6,Committed_inside_campus,0
3,,,,,,0
3,3,3,5,4,Committed_inside_campus,0
3,,,,,,0
3,,,,,,0
3,,,,,,0
3,,,,,,0
3,,,,,,0
3,4,5,4,0,Single_and_stud,0
3,13,5,2,6,Long_distance_lover,0
3,,,,,,0
3,,,,,,0
3,9,2,6,1,Committed_inside_campus,0
3,3,3,8,0,Committed_inside_campus,0
3,,,,,,0
3,13,4,6,1,Committed_inside_campus,0
3,6,0,7,1,Long_distance_lover,0
3,,,,,,0
3,3,0,6,3,Long_distance_lover,0
3,2,2,6,6,Committed_inside_campus,0
3,14,2,5,1,Committed_inside_campus,0
3,15,2,1,6,Committed_inside_campus,0
3,12,0,3,0,Single_and_stud,0
3,,,,,,0
3,5,1,3,4,Long_distance_lover,0
3,9,1,0,1,Long_distance_lover,0
3,1,4,8,4,Long_distance_lover,0
3,0,1,3,4,Single_and_stud,0
3,0,1,5,0,Single_and_stud,0
3,8,3,7,1,Long_distance_lover,0
3,,,,,,0
3,13,0,7,5,Single_and_stud,0
3,1,0,3,1,Long_distance_lover,0
3,1,5,6,1,Single_and_stud,0
3,12,4,0,3,Single_and_stud,0
3,12,5,6,4,Committed_inside_campus,0
3,,,,,,0
3,,,,,,0
3,,,,,,0
3,3,5,4,6,Long_distance_lover,0
3,13,0,5,2,Single_and_stud,0
3,,,,,,0
3,13,2,3,1,Single_and_stud,0
3,7,5,6,0,Long_distance_lover,0
3,12,5,8,6,Committed_inside_campus,0
3,6,1,3,3,Committed_inside_campus,0
3,,,,,,0
3,6,1,2,0,Long_distance_lover,0
3,14,0,2,1,Committed_inside_campus,0
3,1,0,5,5,Single_and_stud,0
3,10,4,0,2,Long_distance_lover,0
3,6,5,5,5,Single_and_stud,0
3,8,3,8,4,Single_and_stud,0
5,6,3,1,1,Committed_inside_campus,0
5,1,1,5,2,Long_distance_lover,0
5,,,,,,0
5,,,,,,0
5,7,2,6,2,Long_distance_lover,0
5,,,,,,0
5,13,0,3,3,Single_and_stud,0
5,,,,,,0
5,6,0,0,1,Committed_inside_campus,0
5,2,5,3,1,Long_distance_lover,0
5,,,,,,0
5,11,0,1,4,Long_distance_lover,0
5,9,0,3,4,Committed_inside_campus,0
5,,,,,,0
5,,,,,,0
5,,,,,,0
5,2,2,6,3,Long_distance_lover,0
5,7,4,6,4,Long_distance_lover,0
5,5,4,5,0,Committed_inside_campus,0
5,11,3,4,4,Committed_inside_campus,0
5,,,,,,0
5,0,1,6,3,Long_distance_lover,0
5,,,,,,0
5,3,4,0,0,Committed_inside_campus,0
5,,,,,,0
5,1,3,4,3,Long_distance_lover,0
5,1,2,2,1,Committed_inside_campus,0
5,8,2,1,1,Committed_inside_campus,0
5,,,,,,0
5,13,2,1,0,Single_and_stud,0
5,,,,,,0
5,2,1,0,2,Single_and_stud,0
5,11,2,3,3,Single_and_stud,0
5,6,2,6,1,Single_and_stud,0
5,7,5,3,3,Long_distance_lover,0
5,,,,,,0
5,6,1,2,3,Single_and_stud,0
5,,,,,,0
5,1,0,6,2,Single_and_stud,0
5,9,1,6,4,Long_distance_lover,0
5,,,,,,0
5,5,5,3,1,Committed_inside_campus,0
5,2,2,6,3,Committed_inside_campus,0
5,6,4,0,3,Committed_inside_campus,0
5,9,5,6,3,Long_distance_lover,0
5,,,,,,0
5,,,,,,0
5,,,,,,0
5,,,,,,0
5,14,4,2,4,Single_and_stud,0
5,,,,,,0
5,0,4,3,0,Long_distance_lover,0
5,4,3,0,3,Single_and_stud,0
5,,,,,,0
5,8,2,4,4,Long_distance_lover,0
5,1,1,3,0,Single_and_stud,0
5,5,3,1,2,Committed_inside_campus,0
5,,,,,,0
5,12,1,5,0,Single_and_stud,0
5,5,2,5,3,Single_and_stud,0
5,,,,,,0
5,7,4,0,2,Long_distance_lover,0
5,,,,,,0
5,,,,,,0
5,4,4,2,0,Long_distance_lover,0
5,,,,,,0
5,8,1,6,4,Committed_inside_campus,0
5,,,,,,0
5,2,3,6,4,Committed_inside_campus,0
5,12,4,2,3,Single_and_stud,0
5,7,5,3,3,Long_distance_lover,0
5,,,,,,0
5,8,1,6,0,Committed_inside_campus,0
5,,,,,,0
5,3,1,5,1,Committed_inside_campus,0
5,11,5,3,3,Single_and_stud,0
5,0,0,6,0,Long_distance_lover,0
5,9,0,0,3,Long_distance_lover,0
5,,,,,,0
5,8,3,2,0,Long_distance_lover,0
5,2,1,0,4,Long_distance_lover,0
5,8,3,4,3,Single_and_stud,0
5,,,,,,0
5,,,,,,0
5,7,4,3,3,Long_distance_lover,0
5,,,,,,0
5,8,0,6,4,Long_distance_lover,0
5,3,4,2,4,Committed_inside_campus,0
5,,,,,,0
5,4,3,0,2,Committed_inside_campus,0
5,,,,,,0
5,,,,,,0
5,,,,,,0
5,,,,,,0
5,,,,,,0
5,0,1,4,1,Long_distance_lover,0
5,13,3,4,4,Long_distance_lover,0
5,,,,,,0
5,,,,,,0
5,11,4,0,0,Committed_inside_campus,0
5,3,2,6,0,Single_and_stud,0
5,,,,,,0
5,8,0,3,4,Single_and_stud,0
5,12,5,4,4,Committed_inside_campus,0
5,,,,,,0
5,8,1,4,3,Committed_inside_campus,0
5,3,0,3,4,Single_and_stud,0
5,,,,,,0
5,13,3,0,4,Committed_inside_campus,0
5,11,5,5,4,Single_and_stud,0
5,,,,,,0
5,10,1,0,3,Single_and_stud,0
5,7,1,1,2,Committed_inside_campus,0
5,3,5,0,4,Long_distance_lover,0
5,9,3,4,2,Long_distance_lover,0
5,,,,,,0
5,10,4,4,3,Long_distance_lover,0
5,,,,,,0
5,,,,,,0
5,11,2,4,2,Committed_inside_campus,0
5,14,0,5,0,Committed_inside_campus,0
5,,,,,,0
5,8,3,5,2,Committed_inside_campus,0
5,,,,,,0
5,,,,,,0
5,,,,,,0
5,3,5,4,3,Single_and_stud,0
5,,,,,,0
5,,,,,,0
5,10,0,5,4,Committed_inside_campus,0
5,0,1,5,2,Single_and_stud,0
5,,,,,,0
5,8,1,3,0,Single_and_stud,0
5,,,,,,0
5,13,5,0,3,Committed_inside_campus,0
5,2,3,0,1,Long_distance_lover,0
5,2,1,1,4,Long_distance_lover,0
5,13,1,4,3,Long_distance_lover,0
5,0,3,2,1,Single_and_stud,0
5,10,4,0,1,Committed_inside_campus,0
5,,,,,,0
5,9,5,3,0,Single_and_stud,0
5,3,1,1,4,Single_and_stud,0
5,4,5,4,0,Single_and_stud,0
5,11,2,1,2,Long_distance_lover,0
5,3,2,0,4,Long_distance_lover,0
5,5,4,5,0,Long_distance_lover,0
5,13,0,3,3,Committed_inside_campus,0
5,14,2,5,3,Single_and_stud,0
5,3,4,1,0,Long_distance_lover,0
6,13,2,0,0,Single_and_stud,0
6,17,3,4,0,Long_distance_lover,0
6,,,,,,0
6,,,,,,0
6,20,3,3,1,Single_and_stud,0
6,,,,,,0
6,4,6,2,1,Single_and_stud,0
6,,,,,,0
6,3,5,3,1,Single_and_stud,0
6,1,6,0,0,Committed_inside_campus,0
6,,,,,,0
6,17,6,0,2,Long_distance_lover,0
6,8,7,4,1,Long_distance_lover,0
6,,,,,,0
6,,,,,,0
6,,,,,,0
6,,,,,,0
6,8,1,3,1,Single_and_stud,0
6,,,,,,0
6,6,5,3,1,Single_and_stud,0
6,,,,,,0
6,,,,,,0
6,,,,,,0
6,12,4,2,0,Committed_inside_campus,0
6,,,,,,0
6,1,2,1,0,Single_and_stud,0
6,,,,,,0
6,12,4,3,1,Committed_inside_campus,0
6,,,,,,0
6,4,0,0,1,Single_and_stud,0
6,,,,,,0
6,18,5,2,0,Single_and_stud,0
6,,,,,,0
6,20,2,0,0,Long_distance_lover,0
6,,,,,,0
6,,,,,,0
6,5,4,4,2,Committed_inside_campus,0
6,,,,,,0
6,10,1,3,1,Long_distance_lover,0
6,6,1,3,2,Single_and_stud,0
6,,,,,,0
6,12,6,0,2,Single_and_stud,0
6,16,3,4,0,Committed_inside_campus,0
6,13,3,1,0,Long_distance_lover,0
6,13,0,4,0,Committed_inside_campus,0
6,,,,,,0
6,,,,,,0
6,,,,,,0
6,,,,,,0
6,18,4,3,1,Long_distance_lover,0
6,,,,,,0
6,15,3,3,0,Single_and_stud,0
6,6,1,3,2,Long_distance_lover,0
6,,,,,,0
6,16,7,4,0,Long_distance_lover,0
6,17,4,1,2,Committed_inside_campus,0
6,6,7,3,1,Committed_inside_campus,0
6,,,,,,0
6,17,4,1,0,Long_distance_lover,0
6,12,2,3,2,Long_distance_lover,0
6,,,,,,0
6,9,1,4,2,Single_and_stud,0
6,,,,,,0
6,,,,,,0
6,0,3,0,1,Committed_inside_campus,0
6,,,,,,0
6,6,5,4,2,Long_distance_lover,0
6,,,,,,0
6,11,3,3,0,Committed_inside_campus,0
6,9,5,4,0,Single_and_stud,0
6,12,4,4,0,Long_distance_lover,0
6,,,,,,0
6,8,7,3,2,Long_distance_lover,0
6,,,,,,0
6,10,3,3,2,Long_distance_lover,0
6,,,,,,0
6,1,4,4,2,Single_and_stud,0
6,11,2,0,1,Committed_inside_campus,0
6,,,,,,0
6,15,3,2,1,Long_distance_lover,0
12,13,1,9,3,Long_distance_lover,0
12,4,0,8,2,Single_and_stud,0
12,,,,,,0
12,,,,,,0
12,1,4,9,4,Long_distance_lover,0
12,,,,,,0
12,12,7,12,4,Committed_inside_campus,0
12,,,,,,0
12,6,3,1,2,Committed_inside_campus,0
12,,,,,,0
12,,,,,,0
12,13,2,3,2,Committed_inside_campus,0
12,12,6,1,5,Single_and_stud,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,5,5,7,0,Committed_inside_campus,0
12,,,,,,0
12,11,7,6,2,Long_distance_lover,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,6,1,8,1,Committed_inside_campus,0
12,,,,,,0
12,6,6,6,4,Long_distance_lover,0
12,,,,,,0
12,6,2,3,3,Committed_inside_campus,0
12,,,,,,0
12,14,2,6,2,Single_and_stud,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,3,1,9,5,Single_and_stud,0
12,,,,,,0
12,,,,,,0
12,7,6,3,1,Committed_inside_campus,0
12,,,,,,0
12,16,4,9,5,Committed_inside_campus,0
12,13,5,7,2,Single_and_stud,0
12,,,,,,0
12,,,,,,0
12,7,0,5,0,Single_and_stud,0
12,9,3,10,3,Committed_inside_campus,0
12,10,6,4,3,Long_distance_lover,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,5,2,12,2,Single_and_stud,0
12,,,,,,0
12,16,1,11,3,Committed_inside_campus,0
12,3,0,9,2,Committed_inside_campus,0
12,,,,,,0
12,,,,,,0
12,3,1,8,3,Committed_inside_campus,0
12,8,0,4,4,Committed_inside_campus,0
12,,,,,,0
12,12,3,1,2,Single_and_stud,0
12,,,,,,0
12,,,,,,0
12,9,6,7,4,Long_distance_lover,0
12,,,,,,0
12,,,,,,0
12,3,7,7,4,Long_distance_lover,0
12,,,,,,0
12,10,6,2,3,Single_and_stud,0
12,,,,,,0
12,1,3,2,3,Long_distance_lover,0
12,2,7,10,2,Committed_inside_campus,0
12,13,5,10,4,Single_and_stud,0
12,,,,,,0
12,5,2,4,4,Long_distance_lover,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,12,5,1,3,Committed_inside_campus,0
12,3,6,8,5,Long_distance_lover,0
12,,,,,,0
12,,,,,,0
12,5,0,6,5,Long_distance_lover,0
12,3,5,7,1,Single_and_stud,0
12,,,,,,0
12,,,,,,0
12,5,2,0,1,Long_distance_lover,0
12,,,,,,0
12,16,4,0,3,Committed_inside_campus,0
12,,,,,,0
12,,,,,,0
12,4,5,5,4,Single_and_stud,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,,,,,,0
12,1,6,6,3,Long_distance_lover,0
12,4,4,7,1,Long_distance_lover,0
12,,,,,,0
12,,,,,,0
12,8,5,1,1,Committed_inside_campus,0
12,10,3,11,1,Single_and_stud,0
12,,,,,,0
12,1,2,8,4,Single_and_stud,0
12,0,0,3,1,Single_and_stud,0
12,,,,,,0
12,9,5,6,4,Long_distance_lover,0
12,16,4,4,1,Committed_inside_campus,0
12,,,,,,0
12,,,,,,0
12,14,2,9,2,Committed_inside_campus,0
12,,,,,,0
12,9,7,9,0,Single_and_stud,0
12,12,4,4,0,Committed_inside_campus,0
12,7,5,10,4,Committed_inside_campus,0
12,,,,,,0
12,,,,,,0
12,12,0,12,2,Long_distance_lover,0
12,,,,,,0
12,,,,,,0
12,1,0,8,0,Committed_inside_campus,0
